U+25B7	▷	三角形 空心右指三角
U+25B6	▶	三角形 实心右指三角
U+25B5	▵	三角形 空心上指小型三角
U+25B4	▴	三角形 实心上指小型三角
U+25B3	△	三角形 空心上指三角
U+25B2	▲	三角形 实心上指三角
U+25B1	▱	平行四边形 空心平行四边形
U+25B0	▰	平行四边形 实心平行四边形
U+25AF	▯	矩形 空心竖矩形
U+25AE	▮	矩形 实心竖矩形
U+25AD	▭	矩形 空心矩形
U+25AC	▬	矩形 实心矩形
U+25AB	▫	方块 空心小型方形
U+25AA	▪	方块 实心小型方形
U+25A9	▩	方块 带对角线交叉填充符的方形
U+25A8	▨	方块 带右上到左下填充符的方形
U+25A7	▧	方块 带左上到右下填充符的方形
U+25A6	▦	方块 带直角交叉填充符的方形
U+25A5	▥	方块 带竖填充符的方形
U+25A4	▤	方块 带水平填充符的方形
U+25A3	▣	方块 空心方形包含实心小型方形
U+25A2	▢	方块 带圆角的空心方形
U+25A1	□	方块 空心方形
U+25A0	■	方块 实心方形
U+259F	▟	象限 右上左下和右下象限
U+259E	▞	象限 右上和左下象限
U+259D	▝	象限 右上象限
U+259C	▜	象限 左上右上和右下象限
U+259B	▛	象限 左上右上和左下象限
U+259A	▚	象限 左上和右下象限
U+2599	▙	象限 左上左下和右下象限
U+2598	▘	象限 左上象限
U+2597	▗	象限 右下象限
U+2596	▖	象限 左下象限
U+2595	▕	方块 右八分之一方块
U+2594	▔	方块 上八分之一方块
U+2593	▓	阴影 深阴影
U+2592	▒	阴影 中等阴影
U+2591	░	阴影 细阴影
U+2590	▐	方块 右半方块
U+258F	▏	方块 左八分之一方块
U+258E	▎	方块 左四分之一方块
U+258D	▍	方块 左八分之三方块
U+258C	▌	方块 左半方块
U+258B	▋	方块 左八分之五方块
U+258A	▊	方块 左四分之三方块
U+2589	▉	方块 左八分之七方块
U+2588	█	方块 完整方块
U+2587	▇	方块 下八分之七方块
U+2586	▆	方块 下四分之三方块
U+2585	▅	方块 下八分之五方块
U+2584	▄	方块 下半方块
U+2583	▃	方块 下八分之三方块
U+2582	▂	方块 下四分之一方块
U+2581	▁	方块 下八分之一方块
U+2580	▀	方块 上半方块
U+24FF	⓿	反白圆圈零 圆圈零
U+24FE	⓾	双圆圈十 圆圈十
U+24FD	⓽	双圆圈九 圆圈九
