U+1FADA	🫚	姜 蔬菜
U+1FADB	🫛	豌豆荚 蔬菜 豌豆
U+1F344-200D-1F7EB	🍄‍🟫	褐色蘑菇 蔬菜 蘑菇
U+1FADC	🫜	根茎类蔬菜 蔬菜
U+1F35E	🍞	面包
U+1F950	🥐	羊角面包 面包 新月形面包 牛角面包
U+1F956	🥖	法式长棍面包 面包 法棍 长面包
U+1FAD3	🫓	扁面包 面包 兵 大饼 面饼
U+1F968	🥨	椒盐卷饼 卷饼
U+1F96F	🥯	面包圈 面包 烘焙 百吉圈 百吉饼
U+1F95E	🥞	烙饼 煎饼 薄煎饼 蛋饼
U+1F9C7	🧇	华夫饼 格子饼 点心
U+1F9C0	🧀	芝士 奶酪 起司
U+1F356	🍖	排骨 吃肉 带骨肉 肉肉
U+1F357	🍗	家禽的腿 鸡腿 家禽 家禽腿 鸡肉 鸡腿儿
U+1F969	🥩	肉块 排骨 牛排 猪排 羊排 肉 肉排 肉肉
U+1F953	🥓	培根 烟肉
U+1F354	🍔	汉堡 汉堡包
U+1F35F	🍟	薯条 油炸
U+1F355	🍕	披萨 吃比萨 吃比萨饼
U+1F32D	🌭	热狗 火腿
U+1F96A	🥪	三明治
U+1F32E	🌮	墨西哥卷饼 卷饼 墨西哥 墨西哥薄饼卷
U+1F32F	🌯	墨西哥玉米煎饼 煎饼 卷饼 墨西哥 墨西哥卷饼 煎饼馃子
U+1FAD4	🫔	墨西哥粽子 粽子 墨西哥 墨西哥粽
U+1F959	🥙	夹心饼 夹心 皮塔三明治 肉夹馍
U+1F9C6	🧆	炸豆丸子 丸子 中东蔬菜球 油炸鹰嘴豆饼 法拉费 肉丸 肉丸子
U+1F95A	🥚	蛋 鸡蛋 蛋蛋
U+1F373	🍳	煎蛋 鸡蛋 平底锅 烹饪 煎
U+1F958	🥘	装有食物的浅底锅 平底锅 锅 一锅食物 火锅
U+1F372	🍲	一锅食物 锅 火锅
U+1FAD5	🫕	奶酪火锅 火锅 锅 芝士火锅 起司火锅
U+1F963	🥣	碗勺 勺子 碗 放着勺的碗 早餐 汤 汤碗 谷物
U+1F957	🥗	绿色沙拉 沙拉 蔬菜沙拉
U+1F37F	🍿	爆米花
U+1F9C8	🧈	黄油 乳制品 牛奶 黄乳油
U+1F9C2	🧂	盐 佐料 佐料瓶 调味品 食盐
U+1F96B	🥫	罐头食品 罐头
U+1F371	🍱	盒饭 便当 便当盒 外卖 快餐 快餐盒
U+1F358	🍘	米饼 米果
U+1F359	🍙	饭团
U+1F35A	🍚	米饭 大米 大米饭 煮熟的饭
U+1F35B	🍛	咖喱饭 咖喱
U+1F35C	🍜	面条 一碗面 冒热气的碗 吃面 拉面
U+1F35D	🍝	意粉 意大利面 意大利面条 意面
U+1F360	🍠	烤红薯 红薯 地瓜 烤地瓜 烤甘薯 烤番薯
U+1F362	🍢	关东煮 串串
U+1F363	🍣	寿司
U+1F364	🍤	天妇罗 炸虾 虾仁
U+1F365	🍥	鱼板 盘绕是炸鱼饼
U+1F96E	🥮	月饼 丰收饼 团圆饼 月团
U+1F361	🍡	团子 串 糯米团
U+1F95F	🥟	饺子 水饺
U+1F960	🥠	幸运饼干 饼干 预言
U+1F961	🥡	外卖盒 外卖 外卖包装 外卖桶
U+1F980	🦀	蟹 螃蟹 蟹老板
U+1F99E	🦞	龙虾 小龙虾 麻辣小龙虾
U+1F990	🦐	虾 大虾 对虾 甲壳
U+1F991	🦑	乌贼 墨鱼 鱿鱼
U+1F9AA	🦪	牡蛎 珍珠 生蚝 蚝蛎
U+1F366	🍦	圆筒冰激凌 冰激凌 冰淇淋 圆筒冰淇淋 甜筒 软冰淇淋 软冰激凌
U+1F367	🍧	刨冰 冰沙
U+1F368	🍨	冰淇淋 冰激凌
U+1F369	🍩	甜甜圈 油炸面圈
U+1F36A	🍪	饼干 曲奇 曲奇饼干
U+1F382	🎂	生日蛋糕 蛋糕 生日
U+1F370	🍰	水果蛋糕 蛋糕
U+1F9C1	🧁	纸杯蛋糕 蛋糕
U+1F967	🥧	派 油酥点心 糕点
U+1F36B	🍫	巧克力 巧克力棒 朱古力 朱古力棒 甜品
U+1F36C	🍬	糖 吃糖 糖果
U+1F36D	🍭	棒棒糖
U+1F36E	🍮	奶黄 布丁 甜品 甜点 蛋奶糕
U+1F36F	🍯	蜂蜜 蜜罐
U+1F37C	🍼	奶瓶 喝奶
U+1F95B	🥛	一杯奶 牛奶 杯子 牛奶杯
U+2615	☕	热饮 咖啡 咖啡杯 喝咖啡 热饮料
U+1FAD6	🫖	茶壶 喝茶 茶 一壶 一壶茶
U+1F375	🍵	热茶 喝茶 茶 泡茶 茶杯 茶水
U+1F376	🍶	清酒 喝酒 酒 酒杯
U+1F37E	🍾	开香槟 喝酒 酒 瓶子
U+1F377	🍷	葡萄酒 喝酒 酒 酒杯
U+1F378	🍸	鸡尾酒 喝酒 酒
U+1F379	🍹	热带水果饮料 饮料 冷饮 果饮 热带饮料
U+1F37A	🍺	啤酒 喝酒 酒 啤
U+1F37B	🍻	干杯 喝酒 酒 啤酒 碰杯
U+1F942	🥂	碰杯 喝酒 酒 干杯
U+1F943	🥃	平底杯 喝酒 酒 一杯 一杯酒 威士忌 烈酒 玻璃杯
U+1FAD7	🫗	倾倒液体 喝酒 酒 倾倒
U+1F964	🥤	带吸管杯 杯子 饮料 外带杯子 果汁 苏打
U+1F9CB	🧋	珍珠奶茶 饮料 奶茶 一杯奶茶 波霸奶茶
U+1F9C3	🧃	饮料盒 饮料 吸管 果汁 果汁盒 盒装
U+1F9C9	🧉	马黛茶 饮料
U+1F9CA	🧊	冰块 冰 冰山 冷却 冷饮 加冰
U+1F962	🥢	筷子 筷
U+1F37D	🍽	餐具 盘
U+1F374	🍴	刀叉 惨剧 餐具
U+1F944	🥄	匙 勺子 匙子 汤勺 汤匙 调羹
U+1F52A	🔪	菜刀 小刀 水果刀 烹饪
U+1FAD9	🫙	罐 玻璃罐 玻璃瓶 瓶子 罐子
U+1F3FA	🏺	双耳瓶 瓶子 壶 罐子
U+1F30D	🌍	地球上的欧洲非洲 地球 欧洲 非洲 地球仪 欧洲地球仪 欧洲非洲地球仪 欧非地球仪 非洲欧洲
U+1F30E	🌎	地球上的美洲 地球 美洲 地球仪 美洲地球仪
U+1F30F	🌏	地球上的亚洲澳洲 地球 亚洲 澳洲 世界 亚洲地球仪 亚澳地球仪 澳亚地球仪 澳洲亚洲 澳洲地球仪
U+1F310	🌐	带经纬线的地球 地球 子午线 经纬 经纬线
U+1F5FA	🗺	世界地图 地图 世界
U+1F5FE	🗾	日本地图 地图 日本剪影
U+1F9ED	🧭	指南针 导航 指北针 方向 罗盘
U+1F3D4	🏔	雪山 山 高山
U+26F0	⛰	山 山峰 山脉 山顶
U+1F30B	🌋	火山 山 喷发 火山喷发 火山爆发
U+1F5FB	🗻	富士山 山
U+1F3D5	🏕	露营 帐篷 野营
U+1F3D6	🏖	沙滩伞 伞 沙滩 太阳伞 度假
U+1F3DC	🏜	沙漠 荒漠
U+1F3DD	🏝	无人荒岛 无人岛
U+1F3DE	🏞	国家公园 公园 自然 风景
U+1F3DF	🏟	体育馆 体育场 足球场
U+1F3DB	🏛	古典建筑 建筑 博物馆 古典 古建筑
U+1F3D7	🏗	施工 建筑施工 起重机
U+1F9F1	🧱	砖 墙壁 板儿砖 板砖 砖块 砖头 黏土
U+1FAA8	🪨	岩石 石头
U+1FAB5	🪵	木头 原木 木材
U+1F6D6	🛖	小屋 草屋 蒙古包
U+1F3D8	🏘	房屋建筑 建筑 住宅 居民区 房 房屋群
U+1F3DA	🏚	废墟 危楼 废弃的房屋 荒宅 荒废 鬼屋
U+1F3E0	🏠	房子 住宅楼 家 家庭 房屋
U+1F3E1	🏡	别墅 带花园的楼房 房子 花园
U+1F3E2	🏢	办公楼 写字楼
U+1F3E3	🏣	日本邮局 邮局
U+1F3E4	🏤	邮局 欧洲邮局
U+1F3E5	🏥	医院 医生
U+1F3E6	🏦	银行
U+1F3E8	🏨	酒店 宾馆 旅店 旅馆
U+1F3E9	🏩	情人酒店 酒店 情侣 情人宾馆 情人旅店 情人旅馆 情侣宾馆 情侣旅店 情侣旅馆 情侣酒店 爱情宾馆 爱情旅店 爱情旅馆 爱情酒店
U+1F3EA	🏪	便利店 超市 便利商店 小商店
U+1F3EB	🏫	学校 教学楼
U+1F3EC	🏬	商场 商超 百货商店 超市
U+1F3ED	🏭	工厂
U+1F3EF	🏯	日本城堡 城堡 日式城堡
U+1F3F0	🏰	欧洲城堡 城堡 欧式城堡
U+1F492	💒	婚礼 教堂 浪漫 结婚
U+1F5FC	🗼	东京塔 铁塔 东京
U+1F5FD	🗽	自由女神像 自由女神 雕塑
U+26EA	⛪	教堂 圣堂 基督
U+1F54C	🕌	清真寺 伊斯兰 清真 穆斯林
U+1F6D5	🛕	印度寺庙 寺庙 佛寺 佛教 印度庙 寺院 庙宇
U+1F54D	🕍	犹太教堂 教堂 会堂 犹太 犹太教会堂
U+26E9	⛩	神社 日本神社 神道教
U+1F54B	🕋	克尔白
U+26F2	⛲	喷泉 公园
U+26FA	⛺	帐篷
U+1F301	🌁	有雾 雾气 雾气笼罩的桥 雾蒙蒙 雾都 霾
U+1F303	🌃	夜晚 半夜 星光闪闪的夜晚 晚上 深夜
U+1F3D9	🏙	城市风光 城市 城市景观 都市 都市景观 都市风光
U+1F304	🌄	山顶日出 日出 大山日出 山中日出 旭日 旭日东升 清晨
U+1F305	🌅	日出 旭日 旭日东升 清晨
U+1F306	🌆	城市黄昏 黄昏 傍晚 夜晚 日落 暮色 暮色中的城市 都市
U+1F307	🌇	日落 夕阳 大厦夕阳 落日
U+1F309	🌉	夜幕下的桥 桥 夜幕 夜间大桥 夜间的大桥 晚上
U+2668	♨	温泉 休息
U+1F3A0	🎠	旋转木马 旋木 游乐园
U+1F6DD	🛝	游乐场滑梯 滑梯 滑滑梯
U+1F3A1	🎡	摩天轮
U+1F3A2	🎢	过山车
U+1F488	💈	理发店 旋转 理发店招牌
U+1F3AA	🎪	马戏团帐篷 帐篷 马戏 马戏团
U+1F682	🚂	蒸汽火车 火车 高铁 蒸汽
U+1F683	🚃	轨道车 火车 高铁
U+1F684	🚄	高速列车 火车 高铁 动车 新干线
U+1F685	🚅	子弹头高速列车 火车 高铁 动车 新干线 高速 高速子弹头列车
U+1F686	🚆	火车 绿皮火车
U+1F687	🚇	地铁 地下铁路
U+1F688	🚈	轻轨 铁轨 轨道 轻轨电车
U+1F689	🚉	车站 火车站 站台
U+1F68A	🚊	路面电车 电车
U+1F69D	🚝	单轨 电车 单轨铁路
U+1F69E	🚞	山区铁路 火车 山区
U+1F68B	🚋	有轨电车 火车 电车
U+1F68C	🚌	公交车 公共汽车 公车 大巴 巴士
U+1F68D	🚍	迎面驶来的公交车 公共汽车 公车 大巴 巴士
U+1F68E	🚎	无轨电车 电车
U+1F690	🚐	小巴 小巴车 五菱 五菱宏光 面包车
U+1F691	🚑	救护车 急救 急救车
U+1F692	🚒	消防车 救火车
U+1F693	🚓	警车 巡逻 警察
U+1F694	🚔	迎面驶来的警车 警车 报警
U+1F695	🚕	出租车 的士
U+1F696	🚖	迎面驶来的出租车 出租车 的士
U+1F697	🚗	汽车 小汽车 小轿车 私家车
U+1F698	🚘	迎面驶来的汽车 汽车 小汽车 小轿车 私家车
U+1F699	🚙	运动型多用途车 汽车 休闲车 越野车
U+1F6FB	🛻	敞蓬小型载货卡车 货车 卡车 皮卡 皮卡车
U+1F69A	🚚	货车 卡车 物流 送货车
U+1F69B	🚛	铰接式货车 货车 卡车 大卡车 拖车
U+1F69C	🚜	拖拉机
U+1F3CE	🏎	赛车 方程式赛车 跑车
U+1F3CD	🏍	摩托车 摩托
U+1F6F5	🛵	小型摩托车 摩托车 小电驴 电动车 电瓶车
U+1F9BD	🦽	手动轮椅 轮椅 残疾人
U+1F9BC	🦼	电动轮椅 轮椅
U+1F6FA	🛺	三轮摩托车 摩托车 三脚鸡 三蹦子 三轮车 嘟嘟车 自动人力车
U+1F6B2	🚲	自行车 单车 脚踏车
U+1F6F4	🛴	滑板车 滑板
U+1F6F9	🛹	滑板
U+1F6FC	🛼	四轮滑冰鞋 滑冰鞋 旱冰鞋 旱冰 滑旱冰 轮滑 轮滑鞋
U+1F68F	🚏	公交车站 车站 公交站 公共汽车站
U+1F6E3	🛣	高速公路 高速
U+1F6E4	🛤	铁轨 轨道 铁路
U+1F6E2	🛢	石油桶 石油
U+26FD	⛽	油泵 石油 加油 加油站 柴油 燃油
U+1F6DE	🛞	车轮 轮子 车轮子 车轱辘 轮胎
U+1F6A8	🚨	警车灯 警灯 报警 报警灯 警报 警示 警车旋转灯
U+1F6A5	🚥	横向的红绿灯 红绿灯 交通信号灯 交通灯
U+1F6A6	🚦	纵向的红绿灯 红绿灯 交通信号灯 交通灯
U+1F6D1	🛑	停止标志 停止 停 八边形
U+1F6A7	🚧	路障 前方施工 施工中 施工符号
U+2693	⚓	锚 停泊 船锚
U+1F6DF	🛟	救生圈 救生 泳圈 游泳圈
U+26F5	⛵	帆船
U+1F6F6	🛶	独木舟
U+1F6A4	🚤	快艇 赛艇
U+1F6F3	🛳	客轮 客船
U+26F4	⛴	渡轮 渡船 轮渡 轮船
U+1F6E5	🛥	摩托艇
U+1F6A2	🚢	船 海运 轮船 邮轮
U+2708	✈	飞机 旅行
U+1F6E9	🛩	小型飞机 飞机
U+1F6EB	🛫	航班起飞 飞机 起飞 登机 飞机起飞
U+1F6EC	🛬	航班降落 飞机 降落 着陆 飞机着陆
U+1FA82	🪂	降落伞 帆伞 滑翔 滑翔伞 跳伞
U+1F4BA	💺	座位 椅子
U+1F681	🚁	直升机 直升飞机
U+1F69F	🚟	空轨 悬挂 空中轨道列车 高架铁路
U+1F6A0	🚠	缆车 索道 空中 高山索道
U+1F6A1	🚡	索道 缆车 空中 空中缆车
U+1F6F0	🛰	卫星 人造卫星
U+1F680	🚀	火箭
U+1F6F8	🛸	飞碟 不明飞行物
U+1F6CE	🛎	服务铃 响铃
U+1F9F3	🧳	行李箱 包装 旅行 行李
U+231B	⌛	沙漏
U+23F3	⏳	沙正往下流的沙漏 沙漏
U+231A	⌚	手表 时间
U+23F0	⏰	闹钟 闹表
U+23F1	⏱	秒表 码表 计时器
U+23F2	⏲	定时器
U+1F570	🕰	座钟 台钟 壁炉钟
U+1F55B	🕛	十二点 十二点钟
U+1F567	🕧	十二点半
U+1F550	🕐	一点 一点钟
U+1F55C	🕜	一点半
U+1F551	🕑	两点 两点钟
U+1F55D	🕝	两点半
U+1F552	🕒	三点 三点钟
U+1F55E	🕞	三点半
U+1F553	🕓	四点 四点钟
U+1F55F	🕟	四点半
U+1F554	🕔	五点 五点钟
U+1F560	🕠	五点半
U+1F555	🕕	六点 六点钟
U+1F561	🕡	六点半
U+1F556	🕖	七点 七点钟
U+1F562	🕢	七点半
U+1F557	🕗	八点 八点钟
U+1F563	🕣	八点半
U+1F558	🕘	九点 九点钟
U+1F564	🕤	九点半
U+1F559	🕙	十点 十点钟
U+1F565	🕥	十点半
U+1F55A	🕚	十一点 十一点钟
U+1F566	🕦	十一点半
U+1F311	🌑	朔月 月亮 新月
U+1F312	🌒	娥眉月 月亮 三日月 弯月 月食 残月 蛾眉月
U+1F313	🌓	上弦月 月亮
U+1F314	🌔	盈凸月 月亮
U+1F315	🌕	满月 月亮 圆月 月球 望月
U+1F316	🌖	亏凸月 月亮
U+1F317	🌗	下弦月 月亮
U+1F318	🌘	残月 月亮 亏眉月 弯月 月食 蛾眉月
U+1F319	🌙	弯月 月亮 月牙
U+1F31A	🌚	微笑的朔月 月亮 微笑的新月 黑脸
U+1F31B	🌛	微笑的上弦月 月亮 上弦月 娥眉月
U+1F31C	🌜	微笑的下弦月 月亮 下弦月
U+1F321	🌡	温度计 天气 气温
U+2600	☀	太阳 晴天 日 放射光线的实心太阳
U+1F31D	🌝	微笑的月亮 月亮 圆月 微笑的满月 望月
U+1F31E	🌞	微笑的太阳 太阳
U+1FA90	🪐	有环行星 行星 土星 星球
U+2B50	⭐	星星 五角星
U+1F31F	🌟	闪亮的星星 星星 发光 明星 闪耀的星星
U+1F320	🌠	流星 许愿
U+1F30C	🌌	银河 星空 银河系
U+2601	☁	云 云彩 云朵 天气
U+26C5	⛅	阴 乌云蔽日 多云 阴天
U+26C8	⛈	雷阵雨 下大雨 大雨
U+1F324	🌤	晴偶有云 云 少云 白日小云
U+1F325	🌥	多云
U+1F326	🌦	晴转雨
U+1F327	🌧	下雨 雨云
U+1F328	🌨	下雪 雪云
U+1F329	🌩	打雷 闪电 雷云
U+1F32A	🌪	龙卷风 旋风
U+1F32B	🌫	雾 雾霾
U+1F32C	🌬	大风 吹口气 吹拂 吹风 狂风 风吹拂 风吹拂的脸
U+1F300	🌀	台风 旋风 气旋 漩涡 蚊香 飓风
U+1F308	🌈	彩虹
U+1F302	🌂	收起的伞 伞 雨伞 收起的雨伞
U+2602	☂	伞 雨伞 伞状 打伞 撑伞
U+2614	☔	雨伞 伞 下雨 打伞 撑伞 雨滴 带雨点的雨伞
U+26F1	⛱	阳伞 伞 沙滩伞 遮阳伞
U+26A1	⚡	高压 危险 电 闪电 高压电
U+2744	❄	雪花 雪 下雪
U+2603	☃	雪与雪人 雪人
U+26C4	⛄	雪人 堆雪人
U+2604	☄	彗星 哈雷 哈雷彗星
U+1F525	🔥	火焰 火 火了 点燃 燃烧 着火 着火了
U+1F4A7	💧	水滴 一滴 一滴水 水珠 汗滴
U+1F30A	🌊	浪花 大浪 波 波浪 海洋
U+1F383	🎃	南瓜灯 万圣节 南瓜头 灯笼
U+1F384	🎄	圣诞树
U+1F386	🎆	焰火 烟花 礼花
U+1F387	🎇	烟花 火花 烟火 焰火 礼花
U+1F9E8	🧨	爆竹 灭火器 炸药 鞭炮
U+2728	✨	闪亮 星星 金光闪闪 金闪闪 闪光 闪耀
U+1F388	🎈	气球 庆典
U+1F389	🎉	拉炮彩带 彩带 欢迎 庆祝 恭喜 派对 派对礼宾花 祝贺
U+1F38A	🎊	五彩纸屑球 纸屑 欢迎 彩色碎纸 碎花彩球 糖果球
U+1F38B	🎋	七夕树 七夕 七夕节
U+1F38D	🎍	门松 盆栽 竹
U+1F38E	🎎	日本人形 玩偶 人偶 日本人 日本人偶 日本娃娃
U+1F38F	🎏	鲤鱼旗 鲤鱼 男孩节
U+1F390	🎐	风铃 铃铛
U+1F391	🎑	赏月 中秋 中秋佳节 中秋节 观月
U+1F9E7	🧧	红包 发红包 礼物 运气
U+1F380	🎀	蝴蝶结 丝带 缎带
U+1F381	🎁	礼物 包装 包装盒 盒子 礼 礼品 礼品盒 礼物盒
U+1F397	🎗	提示丝带 丝带 暗示 黄丝带
U+1F39F	🎟	入场券 票 门票
U+1F3AB	🎫	票 入场券 电影票 车票 门票
U+1F396	🎖	军功章 军队 勋章 奖章 鞠躬勋章
U+1F3C6	🏆	奖杯 冠军 奖励 奖品 奖赏
U+1F3C5	🏅	奖牌 运动会奖牌
U+1F947	🥇	金牌 第一
U+1F948	🥈	银牌 第二
U+1F949	🥉	铜牌 第三
U+26BD	⚽	足球 英式足球
U+26BE	⚾	棒球
U+1F94E	🥎	垒球
U+1F3C0	🏀	篮球
U+1F3D0	🏐	排球
U+1F3C8	🏈	美式橄榄球 橄榄球 美式足球
U+1F3C9	🏉	英式橄榄球 橄榄球
U+1F3BE	🎾	网球
U+1F94F	🥏	飞盘 极限 终极
U+1F3B3	🎳	保龄球 保龄球瓶
U+1F3CF	🏏	板球 板球拍
U+1F3D1	🏑	曲棍球
U+1F3D2	🏒	冰球
U+1F94D	🥍	袋棍球 棍网球 球门
U+1F3D3	🏓	乒乓球 乒乓球拍
U+1F3F8	🏸	羽毛球 球拍 羽毛球拍
U+1F94A	🥊	拳击手套 拳击 手套
U+1F94B	🥋	练武服 柔道 柔道服 武术 武术服 空手道 空手道服 跆拳道 跆拳道服
U+1F945	🥅	球门 球网 球门网
U+26F3	⛳	高尔夫球洞 高尔夫
U+26F8	⛸	滑冰 冰刀 溜冰 溜冰鞋
U+1F3A3	🎣	钓鱼竿 渔竿 钓竿 钓鱼
U+1F93F	🤿	潜水面罩 面罩 浮潜 深潜 潜水
U+1F3BD	🎽	运动背心 上衣 跑步
U+1F3BF	🎿	滑雪 滑雪橇 滑雪装备
U+1F6F7	🛷	雪橇 乘雪橇 坐雪橇 驾雪橇
U+1F94C	🥌	冰壶 冰上溜石
U+1F3AF	🎯	正中靶心的飞镖 飞镖 命中 靶心
U+1FA80	🪀	悠悠球 溜溜球 玩具
U+1FA81	🪁	风筝 放风筝 纸鸢 翱翔 风鸢
U+1F52B	🔫	水枪 手枪 滋水枪 玩具枪
U+1F3B1	🎱	台球 桌球 黑八
U+1F52E	🔮	水晶球 占卜 命运
U+1FA84	🪄	魔棒 魔杖 魔法棒
U+1F3AE	🎮	游戏手柄 手柄 打游戏 电子游戏手柄 视频游戏手柄
U+1F579	🕹	游戏操控杆 操控杆 摇杆 操纵杆 游戏摇杆
U+1F3B0	🎰	老虎机 角子机 赌博 赌场
U+1F3B2	🎲	骰子 色子 赌博 酒桌游戏
U+1F9E9	🧩	拼图 图片 拼图块 拼块 拼块儿 线索
U+1F9F8	🧸	泰迪熊 填充 泰迪 玩偶 玩具
U+1FA85	🪅	彩罐 皮纳塔
U+1FAA9	🪩	镜球 迪斯科 镜面球
U+1FA86	🪆	套娃 俄罗斯套娃
U+2660	♠	黑桃 扑克
U+2665	♥	喜欢 心 心形 扑克 爱 爱心 红心 红桃
U+2666	♦	方片 扑克 方板 方块
U+2663	♣	梅花 草花 扑克
U+265F	♟	兵 国际象棋 国际象棋兵 牺牲品
U+1F0CF	🃏	大小王 大王 小丑牌 扑克 鬼牌
U+1F004	🀄	红中 麻将
U+1F3B4	🎴	花札 扑克牌 花扑克牌 花牌
U+1F3AD	🎭	表演艺术 表演 剧院 戏剧 面具
U+1F5BC	🖼	带框的画 画 一幅画 博物馆 带画框的图片 框 画框
U+1F3A8	🎨	调色盘 博物馆 画 画板 画画 美术 艺术 调色板
U+1F9F5	🧵	线 线轴 绳子 缝纫
U+1FAA1	🪡	缝合针 绣花针 缝纫针 缝衣针
U+1F9F6	🧶	毛线 毛线球 纱线 线团 编织
U+1FAA2	🪢	结 打结 绳子 绳结
U+1F453	👓	眼镜 眼睛 近视 近视眼
U+1F576	🕶	墨镜 太阳镜
U+1F97D	🥽	护目镜 泳镜 游泳镜 焊接
U+1F97C	🥼	白大褂 实验室外衣 白大褂儿 科学家
U+1F9BA	🦺	救生衣 安全背心 紧急 逃生
U+1F454	👔	领带 衣服 衬衫领带
U+1F455	👕	tntl 上衣 恤衫 汗衫 男士衬衫 男衬衫 短袖
U+1F456	👖	牛仔裤 裤子
U+1F9E3	🧣	围巾
U+1F9E4	🧤	手套
U+1F9E5	🧥	外套 夹克 夹克衫
U+1F9E6	🧦	袜子 短袜 长袜
U+1F457	👗	连衣裙 裙子 衣服 长裙
U+1F458	👘	和服 浴衣
U+1F97B	🥻	纱丽 印度 披肩
U+1FA71	🩱	连体泳衣 泳衣 泳装 比基尼 biki
U+1FA72	🩲	三角裤 内裤 底裤 短裤
U+1FA73	🩳	短裤 内裤 四角裤 泳衣 泳装 裤子
U+1F459	👙	比基尼 泳衣 泳装 biki 三点式 内衣
U+1F45A	👚	女装 女士衬衫 女衬衫
U+1FAAD	🪭	折扇 扇子
U+1F45B	👛	钱包 女士钱包 零钱包
U+1F45C	👜	手提包 包 包包 女包 手提袋 挎包
U+1F45D	👝	手袋 袋子 手拿包 皮包 荷包
U+1F6CD	🛍	购物袋 袋子 逛街
U+1F392	🎒	书包 双肩包 背包 背囊
U+1FA74	🩴	夹趾凉鞋 凉鞋 鞋子 人字拖 拖鞋 沙滩凉鞋
U+1F45E	👞	男鞋 鞋子 皮鞋
U+1F45F	👟	跑鞋 鞋子 休闲鞋 板儿鞋 板鞋 网球鞋 运动鞋
U+1F97E	🥾	登山鞋 鞋子 徒步
U+1F97F	🥿	平底鞋 鞋子 便鞋
U+1F460	👠	高跟鞋 鞋子 女鞋 高跟儿 高跟儿鞋
U+1F461	👡	女式凉鞋 凉鞋 鞋子 高跟儿凉鞋 高跟凉鞋
U+1FA70	🩰	芭蕾舞鞋 鞋子 舞蹈 足尖鞋
U+1F462	👢	女靴 鞋子 长靴 靴子 高跟儿靴 高跟靴
U+1FAAE	🪮	发夹 叉梳 梳子
U+1F451	👑	皇冠 王冠 皇族
U+1F452	👒	女帽 帽子 宽檐帽 带蝴蝶结的帽子
U+1F3A9	🎩	礼帽 帽子 高帽 高顶礼帽
U+1F393	🎓	毕业帽 帽子 四方帽 学士帽
U+1F9E2	🧢	鸭舌帽 帽子 棒球帽
U+1FA96	🪖	军用头盔 头盔 军人 军盔
U+26D1	⛑	白十字头盔 头盔 安全帽 十字头盔 十字安全帽 白十字安全帽
U+1F4FF	📿	念珠 珠子 项链
U+1F484	💄	唇膏 化妆品 口红
U+1F48D	💍	戒指 ring 星钻 求婚戒 订婚戒 钻戒
U+1F48E	💎	宝石 钻石 diam jewe 钻
U+1F507	🔇	已静音的扬声器 扬声器 loud 扬声器关闭 无声 静音
U+1F508	🔈	低音量的扬声器 扬声器 loud 小声 轻声 音量
U+1F509	🔉	中等音量的扬声器 扬声器 loud 中等音量
U+1F50A	🔊	高音量的扬声器 扬声器 loud 大声 大音量 高音量
U+1F4E2	📢	喇叭 扩音器 loud 公共广播 通知
U+1F4E3	📣	扩音器 喇叭 loud 呼喊 喇叭筒 大喇叭 通知
U+1F4EF	📯	邮号 号角 邮政喇叭
U+1F514	🔔	铃铛 响铃 叮当
U+1F515	🔕	禁止响铃 响铃 铃铛 响铃关闭 无声 静音 静音铃铛
U+1F3BC	🎼	乐谱 音符 五线谱
U+1F3B5	🎵	音符 音 音乐
U+1F3B6	🎶	多个音符 音符 音乐
U+1F399	🎙	录音室麦克风 麦克风 话筒 micp 录音室 录音麦克风
U+1F39A	🎚	电平滑块 电平 调节
U+1F39B	🎛	控制旋钮 旋钮 控制 调节
U+1F3A4	🎤	麦克风 话筒 micp 唱歌
U+1F3A7	🎧	耳机 earp 头戴式耳机
U+1F4FB	📻	收音机 radi 广播 收听 无线电 电台
U+1F3B7	🎷	萨克斯管 萨克斯 saxo 管弦乐器 萨克斯风
U+1FA97	🪗	手风琴 acco
U+1F3B8	🎸	吉他 guit 乐器 弹奏 电吉他
U+1F3B9	🎹	音乐键盘 音乐 乐器 琴键 钢琴 钢琴按键 钢琴键
U+1F3BA	🎺	小号
U+1F3BB	🎻	小提琴 viol
U+1FA95	🪕	班卓琴 banj 弦乐器
U+1F941	🥁	鼓 打鼓 drum 敲鼓
U+1FA98	🪘	长鼓 康加鼓
U+1FA87	🪇	沙球 沙锤
U+1FA88	🪈	长笛 笛子 flut 竖笛
U+1FA89	🪉	竖琴 harp
U+1F4F1	📱	手机 cell 智能手机 移动电话
U+1F4F2	📲	带有箭头的手机 手机 cell 手机来电
U+260E	☎	电话 tele 固定电话 固话 座机 实心电话
U+1F4DE	📞	电话听筒 听筒 固话 座机 电话筒
U+1F4DF	📟	寻呼机 传呼机
U+1F4E0	📠	传真机 传真 发传真
U+1F50B	🔋	电池 电量 电极 电源 蓄电池
U+1FAAB	🪫	电池电量不足 电量 电池 低电量 没电 电池不足 电量低
U+1F50C	🔌	电源插头 插头 电插头 电源 电线
U+1F4BB	💻	笔记本电脑 电脑 个人电脑 手提电脑 笔电
U+1F5A5	🖥	台式电脑 电脑 显示器 显示屏 计算机
U+1F5A8	🖨	打印机 印刷机 复印 打印 扫描
U+2328	⌨	键盘 打字 输入 电脑键盘
U+1F5B1	🖱	电脑鼠标 鼠标 点击
U+1F5B2	🖲	轨迹球 鼠标
