U+1F92C	🤬	嘴上有符号的脸 生气 你妈死了 傻逼 出口成脏 发誓 咒骂 操你妈 肏你妈 脏话 说脏话 骂人
U+1F608	😈	恶魔微笑 恶魔 微笑 微笑恶魔 微笑的恶魔 犄角 魔鬼
U+1F47F	👿	生气的恶魔 生气 恶魔 恶魔生气 愤怒 生气恶魔 顽童 魔鬼
U+1F480	💀	头骨 骷髅 死 死亡 骷髅头
U+2620	☠	骷髅 头骨 死 死亡 骷髅头 骷髅和交叉腿骨
U+1F4A9	💩	大便 便便 屎 拉便便 拉大便 拉屎 拉粑粑
U+1F921	🤡	小丑脸 小丑
U+1F479	👹	食人魔 恶魔 怪物 鬼 鬼怪
U+1F47A	👺	小妖精 妖精 妖怪
U+1F47B	👻	鬼 妖怪 幽灵 鬼魂 鬼怪 魑魅魍魉
U+1F47D	👽	外星人
U+1F47E	👾	外星怪物 外星人 怪物 外星 异形怪兽 飞碟
U+1F916	🤖	机器人
U+1F63A	😺	大笑的猫 猫 大笑 哈哈猫 开心猫 开心猫脸 开心的猫
U+1F638	😸	微笑的猫 猫 微笑 微笑猫 微笑猫脸
U+1F639	😹	笑出眼泪的猫 猫 眼泪 喜极而泣 快乐 笑中带泪
U+1F63B	😻	花痴的猫 猫 花痴 喜欢 花痴猫 花痴猫脸
U+1F63C	😼	奸笑的猫 猫 奸笑 得意猫 得意猫脸 得意的猫 讽刺
U+1F63D	😽	亲亲猫 猫 亲亲 亲亲猫脸 亲亲的猫
U+1F640	🙀	疲倦的猫 猫 疲倦 害怕猫 害怕猫脸 害怕的猫 恐惧猫 恐惧猫脸 恐惧的猫
U+1F63F	😿	哭泣的猫 猫 哭 哭泣 眼泪 哭泣猫 哭泣猫脸 酷猫 难过
U+1F63E	😾	生气的猫 猫 生气 噘嘴猫 噘嘴猫脸 噘嘴的猫 生气猫 生气猫脸
U+1F648	🙈	非礼勿视 猴子 不看 我不看 没眼看 蒙住眼睛 蒙眼 蒙眼睛
U+1F649	🙉	非礼勿听 猴子 不听 堵上耳朵 堵住耳朵 堵着耳朵 堵耳 堵耳朵 我不听 捂上耳朵 捂住耳朵 捂着耳朵 捂耳 捂耳朵
U+1F64A	🙊	非礼勿言 猴子 不说 不说话 捂上嘴巴 捂住嘴巴 捂嘴 捂嘴巴 捂着嘴巴
U+1F48C	💌	情书 爱书
U+1F498	💘	心中箭了 爱心 一箭穿心 丘比特 扎心 爱情
U+1F49D	💝	系有缎带的心 爱心 爱的礼物 送你一颗心 饰以丝带的心
U+1F496	💖	闪亮的心 爱心 激动 闪亮
U+1F497	💗	搏动的心 爱心 激动 紧张 膨胀的心 膨胀的爱心
U+1F493	💓	心跳 爱心 心动 爱 爱情
U+1F49E	💞	舞动的心 爱心 心连心 旋转 旋转的心 涌动
U+1F495	💕	两颗心 爱心 情侣 心心相印 爱情 粉色的心
U+1F49F	💟	心型装饰 爱心 心形 心形装饰
U+2763	❣	心叹号 爱心 心动
U+1F494	💔	心碎 伤心 失恋
U+2764-FE0F-200D-1F525	❤️‍🔥	火上之心 爱心 心在燃烧 心在着火 心火 燃烧的心 爱火
U+2764-FE0F-200D-1FA79	❤️‍🩹	修复受伤的心灵 爱心 受伤 受伤的心 心伤 治愈的心
U+2764	❤	红心 爱心
U+1FA77	🩷	粉红色的心 爱心 粉心 粉红心 粉色心 粉色的心
U+1F9E1	🧡	橙心 爱心 橘心 橘色心 橘色的心 橙色心 橙色的心
U+1F49B	💛	黄心 爱心 黄色心 黄色的心
U+1F49A	💚	绿心 爱心 绿色心 绿色的心
U+1F499	💙	蓝心 爱心 蓝色心 蓝色的心
U+1FA75	🩵	浅蓝色的心 爱心 淡蓝心 淡蓝色心 淡蓝色的心
U+1F49C	💜	紫心 爱心 紫色心 紫色的心
U+1F90E	🤎	棕心 爱心 棕色心 棕色的心
U+1F5A4	🖤	黑心 爱心 黑色心 黑色的心
U+1FA76	🩶	灰心 爱心 灰色心 灰色的心
U+1F90D	🤍	白心 爱心 白色心 白色的心
U+1F48B	💋	唇印 嘴唇 么么 么么哒 亲 亲吻 亲嘴 吻痕 红唇
U+1F4AF	💯	一百分 一百 满分 考试
U+1F4A2	💢	怒 生气 愤怒 火大 生气符号 青筋
U+1F4A5	💥	爆炸
U+1F4AB	💫	头晕 头晕目眩
U+1F4A6	💦	汗滴 水滴 水珠 汗
U+1F4A8	💨	尾气 奔 阵风
U+1F573	🕳	洞 下水道 坑 陷阱
U+1F4AC	💬	话语气泡 气泡 信息 发言 对话框 对话气泡
U+1F441-FE0F-200D-1F5E8-FE0F	👁️‍🗨️	眼睛对话框 眼睛 我是证人
U+1F5E8	🗨	朝左的话语气泡 气泡 对话框 对话气泡 朝左的对话气泡 话语
U+1F5EF	🗯	愤怒话语气泡 气泡 对话框 对话气泡 愤怒 愤怒对话框 愤怒对话气泡
